Consumer Wise Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date,11-Nov-25
Col Centre Code,Receipt Date,Book Number,Receipt Number,Receipt Type,BU,PC,Consumer No,Mode,Bank,IFSC,MICR,Cheque No,Cheque Date,Receipt Amount,Submitted,B60 Generated ,Modification,Cheque Bounce,"Receipt Source
",Ledger Updation Date,B80 Revision Id,B80 Date,Cheque Realised Date,B60 Date,Theft Consumer Name,Revision ID,CIR ID
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006004,01,0965,5,196151928473,CASH,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006005,01,0965,5,195241919345,CASH,-----------------------, ----------,---------,------,,350,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006006,01,0965,5,195011936062,CASH,-----------------------, ----------,---------,------,,1490,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006006,05,0965,5,195011936062,CASH,-----------------------, ----------,---------,------,,620,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006007,01,0965,0,195720079319,NEFT,-----------------------, ----------,---------,------,,250,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006008,01,0965,5,195721908530,NEFT,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006009,01,0965,5,195010052551,CASH,-----------------------, ----------,---------,------,,230,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006010,01,0965,5,195011942330,CASH,-----------------------, ----------,---------,------,,730,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006011,01,0965,5,195500001769,CASH,-----------------------, ----------,---------,------,,1150,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006012,01,0965,5,195010001680,CASH,-----------------------, ----------,---------,------,,910,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006013,01,0965,5,195010009940,CASH,-----------------------, ----------,---------,------,,670,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006014,01,0965,5,196791902926,CASH,-----------------------, ----------,---------,------,,230,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006015,01,0965,5,195741915273,CASH,-----------------------, ----------,---------,------,,320,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006016,01,0965,5,195741903305,CASH,-----------------------, ----------,---------,------,,200,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006017,01,0965,5,195011989026,CASH,-----------------------, ----------,---------,------,,400,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006018,01,0965,5,195290001604,CASH,-----------------------, ----------,---------,------,,450,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006019,01,0965,5,195291923394,CASH,-----------------------, ----------,---------,------,,190,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006020,01,0965,5,195010010875,CASH,-----------------------, ----------,---------,------,,290,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006021,01,0965,5,195010005383,NEFT,-----------------------, ----------,---------,------,,4300,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006022,01,0965,5,195010002635,NEFT,-----------------------, ----------,---------,------,,330,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006023,01,0965,5,195011904039,NEFT,-----------------------, ----------,---------,------,,380,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006024,01,0965,5,195010001345,NEFT,-----------------------, ----------,---------,------,,1460,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006025,01,0965,0,195531922200,NEFT,-----------------------, ----------,---------,------,,6180,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006026,01,0965,0,196801922211,NEFT,-----------------------, ----------,---------,------,,9260,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006027,01,0965,3,195015006817,NEFT,-----------------------, ----------,---------,------,,18660,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006028,01,0965,3,195012931838,NEFT,-----------------------, ----------,---------,------,,2060,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006029,01,0965,3,195012931820,NEFT,-----------------------, ----------,---------,------,,3420,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006030,01,0965,3,195012931811,NEFT,-----------------------, ----------,---------,------,,6760,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006031,01,0965,3,195012931846,NEFT,-----------------------, ----------,---------,------,,4650,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006032,01,0965,3,195012933024,NEFT,-----------------------, ----------,---------,------,,3060,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006033,01,0965,3,195012933032,NEFT,-----------------------, ----------,---------,------,,3030,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
