Consumer Wise Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date,11-Nov-25
Col Centre Code,Receipt Date,Book Number,Receipt Number,Receipt Type,BU,PC,Consumer No,Mode,Bank,IFSC,MICR,Cheque No,Cheque Date,Receipt Amount,Submitted,B60 Generated ,Modification,Cheque Bounce,"Receipt Source
",Ledger Updation Date,B80 Revision Id,B80 Date,Cheque Realised Date,B60 Date,Theft Consumer Name,Revision ID,CIR ID
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006034,01,0965,3,195012932974,NEFT,-----------------------, ----------,---------,------,,4200,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006035,01,0965,3,195011988135,NEFT,-----------------------, ----------,---------,------,,6790,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006036,01,0965,6,196520114787,CASH,-----------------------, ----------,---------,------,,500,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006037,01,0965,0,196500113601,CASH,-----------------------, ----------,---------,------,,1490,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006038,01,0965,5,195011924749,CASH,-----------------------, ----------,---------,------,,390,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006039,01,0965,5,195780083056,CASH,-----------------------, ----------,---------,------,,180,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006040,01,0965,5,196040001311,CASH,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006041,01,0965,5,195011924391,CASH,-----------------------, ----------,---------,------,,300,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006042,01,0965,5,195240000747,CASH,-----------------------, ----------,---------,------,,2000,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006043,01,0965,5,195690000852,CASH,-----------------------, ----------,---------,------,,260,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006044,01,0965,5,195011910128,CASH,-----------------------, ----------,---------,------,,870,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006045,01,0965,5,195011915618,CASH,-----------------------, ----------,---------,------,,790,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006046,01,0965,5,195010054503,CASH,-----------------------, ----------,---------,------,,460,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006047,01,0965,5,195010054511,CASH,-----------------------, ----------,---------,------,,290,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006048,01,0965,1,195870089100,CASH,-----------------------, ----------,---------,------,,1380,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006049,01,0965,1,195870000907,CASH,-----------------------, ----------,---------,------,,990,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006050,01,0965,1,195870089649,CASH,-----------------------, ----------,---------,------,,630,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006051,05,0965,5,195741936670,CASH,-----------------------, ----------,---------,------,,370,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006051,01,0965,5,195741936670,CASH,-----------------------, ----------,---------,------,,910,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006052,01,0965,5,196230105695,CASH,-----------------------, ----------,---------,------,,880,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006053,01,0965,5,195741923730,CASH,-----------------------, ----------,---------,------,,210,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006054,01,0965,5,195741943498,CASH,-----------------------, ----------,---------,------,,230,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006055,01,0965,5,195741906525,CASH,-----------------------, ----------,---------,------,,180,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006056,01,0965,5,196230105105,CASH,-----------------------, ----------,---------,------,,240,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006057,01,0965,5,196230105121,CASH,-----------------------, ----------,---------,------,,240,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006058,01,0965,5,196230001679,CASH,-----------------------, ----------,---------,------,,170,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006059,01,0965,5,195670076836,CASH,-----------------------, ----------,---------,------,,700,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006060,01,0965,5,196230000630,CASH,-----------------------, ----------,---------,------,,790,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006060,05,0965,5,196230000630,CASH,-----------------------, ----------,---------,------,,580,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006061,01,0965,5,195510000795,CASH,-----------------------, ----------,---------,------,,270,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006062,01,0965,5,196230105041,CASH,-----------------------, ----------,---------,------,,830,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006063,01,0965,5,196231928482,CASH,-----------------------, ----------,---------,------,,2530,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006063,05,0965,5,196231928482,CASH,-----------------------, ----------,---------,------,,620,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006064,01,0965,5,195670000767,CASH,-----------------------, ----------,---------,------,,530,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006065,01,0965,5,195511904400,CASH,-----------------------, ----------,---------,------,,340,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006066,01,0965,5,196230001806,CASH,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006067,01,0965,5,196231920465,CASH,-----------------------, ----------,---------,------,,510,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006068,01,0965,5,196230104931,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006069,05,0965,5,196230000991,CASH,-----------------------, ----------,---------,------,,1140,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006069,01,0965,5,196230000991,CASH,-----------------------, ----------,---------,------,,1730,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006070,01,0965,5,195740000778,CASH,-----------------------, ----------,---------,------,,930,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006070,05,0965,5,195740000778,CASH,-----------------------, ----------,---------,------,,620,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006071,01,0965,5,195740000913,CASH,-----------------------, ----------,---------,------,,140,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006072,01,0965,5,196791932256,CASH,-----------------------, ----------,---------,------,,460,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006073,01,0965,8,195040002559,NEFT,-----------------------, ----------,---------,------,,4000,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,06-Nov-25,B06766,0006074,01,0965,0,196510001135,NEFT,-----------------------, ----------,---------,------,,85030,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159026,01,0965,8,195040020727,CASH,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159027,01,0965,8,195110033228,CASH,-----------------------, ----------,---------,------,,480,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159028,01,0965,8,195041928773,CASH,-----------------------, ----------,---------,------,,220,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159029,01,0965,8,195140002505,CASH,-----------------------, ----------,---------,------,,640,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159030,01,0965,8,195041928790,CASH,-----------------------, ----------,---------,------,,410,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159031,01,0965,8,195111945484,CASH,-----------------------, ----------,---------,------,,230,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159032,01,0965,8,195110003604,CASH,-----------------------, ----------,---------,------,,520,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159033,01,0965,8,195440000016,CASH,-----------------------, ----------,---------,------,,410,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159034,01,0965,8,195431925899,CASH,-----------------------, ----------,---------,------,,270,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159035,01,0965,8,195040046025,CASH,-----------------------, ----------,---------,------,,640,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159036,01,0965,8,195041947662,CASH,-----------------------, ----------,---------,------,,1370,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159037,01,0965,8,195040002842,CASH,-----------------------, ----------,---------,------,,320,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159038,01,0965,8,195041986331,CASH,-----------------------, ----------,---------,------,,640,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159039,01,0965,8,195040002389,CASH,-----------------------, ----------,---------,------,,800,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159040,01,0965,8,195040021588,CASH,-----------------------, ----------,---------,------,,1400,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159041,01,0965,8,195040019460,CASH,-----------------------, ----------,---------,------,,580,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159042,01,0965,8,195040054028,CASH,-----------------------, ----------,---------,------,,920,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159043,01,0965,8,195050003022,CASH,-----------------------, ----------,---------,------,,260,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159044,01,0965,8,195050002034,CASH,-----------------------, ----------,---------,------,,450,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159045,01,0965,8,195040019192,CASH,-----------------------, ----------,---------,------,,190,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159046,01,0965,8,195041940340,CASH,-----------------------, ----------,---------,------,,770,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159047,01,0965,8,195040002265,CASH,-----------------------, ----------,---------,------,,510,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159048,01,0965,8,195430000743,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159049,01,0965,8,195430060711,CASH,-----------------------, ----------,---------,------,,250,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159050,01,0965,8,195040053749,CASH,-----------------------, ----------,---------,------,,740,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159051,01,0965,8,195040053242,CASH,-----------------------, ----------,---------,------,,1560,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159052,01,0965,8,195041932509,CASH,-----------------------, ----------,---------,------,,680,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159053,01,0965,8,195041941516,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159054,01,0965,8,195041941036,CASH,-----------------------, ----------,---------,------,,790,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159055,01,0965,8,195041985050,CASH,-----------------------, ----------,---------,------,,1750,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159056,01,0965,8,195040046734,CASH,-----------------------, ----------,---------,------,,850,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159057,01,0965,8,195040021111,CASH,-----------------------, ----------,---------,------,,430,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159058,01,0965,8,195040018081,CASH,-----------------------, ----------,---------,------,,2690,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159059,01,0965,8,195730001164,CASH,-----------------------, ----------,---------,------,,630,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159060,01,0965,8,195141931691,CASH,-----------------------, ----------,---------,------,,600,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159061,01,0965,8,195730079970,CASH,-----------------------, ----------,---------,------,,360,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159062,01,0965,8,195040003954,CASH,-----------------------, ----------,---------,------,,680,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
020965017-Kai Lalsingrao Shinde Gr.Bid.S.S.Pat.Ltd Kudal Br. Kudal,06-Nov-25,B08535,0159063,01,0965,8,195040019206,CASH,-----------------------, ----------,---------,------,,570,Y,Y,--------,N,Occs,,,,06-Nov-25,08-Nov-25,,,
