Consumer Wise Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date,11-Nov-25
Col Centre Code,Receipt Date,Book Number,Receipt Number,Receipt Type,BU,PC,Consumer No,Mode,Bank,IFSC,MICR,Cheque No,Cheque Date,Receipt Amount,Submitted,B60 Generated ,Modification,Cheque Bounce,"Receipt Source
",Ledger Updation Date,B80 Revision Id,B80 Date,Cheque Realised Date,B60 Date,Theft Consumer Name,Revision ID,CIR ID
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005952,01,0965,5,195300052024,CASH,-----------------------, ----------,---------,------,,550,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005953,01,0965,5,195300052091,CASH,-----------------------, ----------,---------,------,,220,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005954,01,0965,5,195011930595,CASH,-----------------------, ----------,---------,------,,720,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005955,01,0965,5,196040000048,CASH,-----------------------, ----------,---------,------,,120,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005955,05,0965,5,196040000048,CASH,-----------------------, ----------,---------,------,,780,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005956,01,0965,5,195680077571,CASH,-----------------------, ----------,---------,------,,640,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005957,01,0965,5,195681902053,CASH,-----------------------, ----------,---------,------,,140,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005958,01,0965,5,195012930441,CASH,-----------------------, ----------,---------,------,,1300,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005959,01,0965,5,196790001364,CASH,-----------------------, ----------,---------,------,,350,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005960,01,0965,5,195581949451,CASH,-----------------------, ----------,---------,------,,210,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005961,01,0965,5,195570071390,CASH,-----------------------, ----------,---------,------,,1660,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005962,01,0965,5,195012930556,CASH,-----------------------, ----------,---------,------,,2010,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005963,01,0965,5,195500001203,CASH,-----------------------, ----------,---------,------,,340,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005964,01,0965,6,196190001719,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005965,01,0965,6,196190000992,CASH,-----------------------, ----------,---------,------,,270,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005966,01,0965,5,195320000748,CASH,-----------------------, ----------,---------,------,,480,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005967,01,0965,6,195961996916,CASH,-----------------------, ----------,---------,------,,850,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005968,01,0965,5,196620000614,CASH,-----------------------, ----------,---------,------,,400,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
010965012-Medha Sub Division Office Coll.,04-Nov-25,B06766,0005969,01,0965,5,196781938647,CASH,-----------------------, ----------,---------,------,,1160,Y,Y,--------,N,Occs,,,,04-Nov-25,05-Nov-25,,,
