Consumer Wise Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date,11-Nov-25
Col Centre Code,Receipt Date,Book Number,Receipt Number,Receipt Type,BU,PC,Consumer No,Mode,Bank,IFSC,MICR,Cheque No,Cheque Date,Receipt Amount,Submitted,B60 Generated ,Modification,Cheque Bounce,"Receipt Source
",Ledger Updation Date,B80 Revision Id,B80 Date,Cheque Realised Date,B60 Date,Theft Consumer Name,Revision ID,CIR ID
180965002-Riya Computer,05-Nov-25,W28348,0007989,01,0931,8,190010024696,CASH,-----------------------, ----------,---------,------,,780,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007990,01,0931,8,190010021701,CASH,-----------------------, ----------,---------,------,,250,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007991,01,0931,8,190010003842,CASH,-----------------------, ----------,---------,------,,510,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007992,01,0931,8,190010019536,CASH,-----------------------, ----------,---------,------,,810,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007993,01,0931,8,190010004431,CASH,-----------------------, ----------,---------,------,,1180,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007994,01,0931,8,190011649134,CASH,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007995,01,0931,8,190010021735,CASH,-----------------------, ----------,---------,------,,900,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007996,01,0931,8,190470032212,CASH,-----------------------, ----------,---------,------,,230,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007997,01,0931,8,190011691271,CASH,-----------------------, ----------,---------,------,,490,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007998,01,0931,8,190011668058,CASH,-----------------------, ----------,---------,------,,420,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0007999,01,0931,8,190311564891,CASH,-----------------------, ----------,---------,------,,130,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
180965002-Riya Computer,05-Nov-25,W28348,0008000,01,0931,8,190310089382,CASH,-----------------------, ----------,---------,------,,960,Y,Y,--------,N,Wallet,,,,05-Nov-25,06-Nov-25,,,
