Consumer Wise Detail Report,,,,,,,,,,,,,,,,,,,,,,,,,,Run Date,11-Nov-25
Col Centre Code,Receipt Date,Book Number,Receipt Number,Receipt Type,BU,PC,Consumer No,Mode,Bank,IFSC,MICR,Cheque No,Cheque Date,Receipt Amount,Submitted,B60 Generated ,Modification,Cheque Bounce,"Receipt Source
",Ledger Updation Date,B80 Revision Id,B80 Date,Cheque Realised Date,B60 Date,Theft Consumer Name,Revision ID,CIR ID
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006075,01,0965,5,195240001182,CASH,-----------------------, ----------,---------,------,,1820,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006076,01,0965,5,195531929018,CASH,-----------------------, ----------,---------,------,,200,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006077,01,0965,5,195530001097,CASH,-----------------------, ----------,---------,------,,340,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006078,01,0965,5,195010008706,CASH,-----------------------, ----------,---------,------,,220,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006079,01,0965,5,196800122564,CASH,-----------------------, ----------,---------,------,,410,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006080,01,0965,8,188670001937,CASH,-----------------------, ----------,---------,------,,190,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006081,01,0965,8,188670001953,CASH,-----------------------, ----------,---------,------,,230,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006082,01,0965,8,195431956409,CASH,-----------------------, ----------,---------,------,,160,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006083,01,0965,5,195800000624,CASH,-----------------------, ----------,---------,------,,1000,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006084,01,0965,8,188671943022,CASH,-----------------------, ----------,---------,------,,570,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006085,01,0965,5,195010002414,CASH,-----------------------, ----------,---------,------,,450,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006086,01,0965,5,195670076810,CASH,-----------------------, ----------,---------,------,,330,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006087,01,0965,5,195011951126,CASH,-----------------------, ----------,---------,------,,940,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006088,01,0965,5,195011939479,CASH,-----------------------, ----------,---------,------,,440,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
010965012-Medha Sub Division Office Coll.,07-Nov-25,B06766,0006089,01,0965,5,195500001726,CASH,-----------------------, ----------,---------,------,,100,Y,Y,--------,N,Occs,,,,07-Nov-25,08-Nov-25,,,
